Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
AMR,3.66,0.55,325400.0,1178.0,2196.0,23.44,1.51,0.46,0.08,0.16,5.46,6.52,5.93,4.41,40.75,801.0,743.0,
ANAN,1.41,1.44,6405600.0,8983.0,5958.0,,0.41,2.76,,0.0,0.51,-3.75,-12.52,,52.44,,,
AOT,73.0,0.69,8521800.0,620110.0,1039285.0,,10.22,0.78,,0.0,-2.73,-6.18,3.86,,30.0,,,
AP,12.3,2.5,31645100.0,386626.0,39009.0,6.83,1.10,0.79,0.50,1.82,11.41,17.05,15.82,4.07,64.48,208.0,207.0,0.53
APCO,5.2,0.97,159600.0,822.0,3090.0,41.22,5.36,0.11,0.12,0.12,14.51,13.05,28.85,2.37,32.17,716.0,591.0,-4.17
APCS,4.78,0.0,77800.0,369.0,3155.0,,1.69,0.98,0.06,0.0,0.71,-1.69,-1.65,1.26,52.6,,,
APEX,0.04,0.0,0.0,0.0,0.0,,,-3.54,,0.0,-1.04,38.68,-401.44,,43.88,,,
APP,3.8,0.53,5976600.0,22820.0,1047.0,22.53,3.02,1.23,0.20,0.17,7.62,13.43,5.23,5.26,41.27,569.0,635.0,-4.38
APURE,4.98,0.4,99600.0,495.0,4753.0,17.15,2.08,0.08,0.05,0.29,11.95,12.91,13.0,5.12,32.94,506.0,423.0,0.1
AQ,0.02,-33.33,16530000.0,349.0,1874.0,,0.67,1.18,,0.0,0.27,-0.07,11.14,,71.39,,,
AQUA,0.67,0.0,2083500.0,1396.0,3902.0,5.01,0.69,0.53,,0.13,9.98,15.38,275.54,,60.13,211.0,233.0,0.53
ARIN,6.0,1.69,221200.0,1315.0,3540.0,,9.37,1.18,,0.0,-3.38,-13.19,-4.84,,31.36,,,
ARIP,1.33,10.83,9407000.0,11982.0,606.0,36.38,2.71,0.15,,0.04,8.28,7.79,5.67,,34.98,860.0,732.0,0.82
ARROW,7.45,-0.67,26900.0,200.0,1927.0,30.49,1.60,0.52,0.10,0.25,6.35,5.06,5.7,6.04,28.47,939.0,765.0,-2.77
AS,13.5,0.75,2354700.0,32260.0,6891.0,17.48,7.23,0.42,0.30,0.78,38.7,57.44,20.38,4.49,55.13,289.0,287.0,0.01
ASAP,3.2,2.56,214500.0,674.0,2323.0,,2.08,6.18,,0.0,-0.05,-0.71,2.69,,18.62,,,
ASEFA,3.56,0.0,256700.0,912.0,1936.0,18.59,1.19,0.84,0.18,0.19,4.92,6.36,3.31,5.06,29.05,754.0,723.0,-2.79
ASIA,7.85,0.0,11300.0,89.0,2512.0,,0.42,0.71,,0.0,-0.34,-3.18,-16.33,,27.62,,,
ASIAN,13.2,0.76,1389000.0,18283.0,10827.0,10.61,2.53,0.94,0.25,1.25,16.76,25.34,8.65,4.92,38.42,214.0,218.0,0.08
ASIMAR,1.81,-1.63,25900.0,47.0,468.0,46.24,1.12,1.01,0.10,0.04,2.5,2.38,0.93,5.52,65.14,1092.0,1073.0,0.08
ASK,31.25,3.31,2789800.0,86832.0,16495.0,10.91,1.67,5.83,1.44,2.86,2.39,15.39,26.67,4.61,41.9,333.0,725.0,0.92
