Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
PRM,7.9,0.64,9429200.0,74278.0,19625.0,11.56,1.91,1.08,0.09,0.68,10.79,17.74,25.91,3.29,45.16,315.0,351.0,0.55
PRO,0.35,0.0,0.0,0.0,0.0,,,0.32,0.02,0.0,7.88,18.56,10.31,,61.34,,,
PROEN,5.7,0.0,2459400.0,14185.0,1807.0,28.68,3.93,2.67,0.06,0.2,7.57,14.5,4.36,2.76,36.98,615.0,707.0,1.86
PROS,1.92,2.67,165800.0,316.0,1048.0,,2.42,1.45,0.03,0.0,-12.31,-20.6,-9.61,3.08,25.09,,,
PROUD,1.79,1.7,189400.0,334.0,1334.0,65.35,2.04,4.73,,0.03,2.88,3.16,6.11,,19.36,1097.0,1080.0,-0.01
PSG,1.14,-3.39,94344500.0,106880.0,76041.0,158.96,39.00,0.21,,0.01,48.5,52.49,54.48,,19.58,598.0,590.0,15.92
PSH,13.7,2.24,5496400.0,75587.0,29764.0,10.73,0.69,0.62,0.31,1.27,5.24,6.08,8.79,7.01,28.36,633.0,570.0,-0.8
PSL,14.0,4.48,8477400.0,116931.0,22142.0,4.56,1.34,0.49,0.25,3.11,25.41,38.17,57.57,12.50,47.55,50.0,47.0,-0.03
PSTC,1.58,-1.86,2266200.0,3605.0,3795.0,,0.69,0.35,,0.0,,,,,59.26,,,
PT,7.25,0.69,2787500.0,20083.0,2044.0,12.56,3.14,1.68,0.35,0.57,12.41,24.47,5.09,7.59,42.57,273.0,328.0,-1.74
PTC,2.7,3.05,549200.0,1475.0,1107.0,12.73,1.35,,0.10,0.21,,,,3.70,44.88,,,
PTECH,22.2,2.3,2300.0,51.0,5412.0,19.39,5.15,0.73,,1.14,17.88,25.53,19.87,3.38,1.45,385.0,381.0,0.01
PTG,14.1,-0.7,7526000.0,105311.0,23380.0,27.44,2.72,4.22,0.20,0.51,5.11,10.16,0.72,1.77,58.16,725.0,816.0,1.78
PTL,20.2,7.45,3104900.0,61241.0,17820.0,5.93,0.94,0.43,0.57,3.34,,,,6.49,48.98,,,0.23
PTT,33.0,-1.49,43001100.0,1421938.0,935438.0,10.26,0.89,1.26,0.70,3.19,8.13,9.82,2.84,6.06,48.88,464.0,403.0,0.38
PTTEP,160.5,0.94,4366600.0,697911.0,637183.0,8.99,1.36,0.89,5.00,17.85,,,,5.76,34.7,,,0.24
PTTGC,49.0,0.51,9153400.0,447755.0,217552.0,,0.75,1.46,0.25,0.0,0.81,-1.5,-1.39,2.04,54.81,,,
PYLON,4.36,0.46,97900.0,426.0,3284.0,24.52,3.13,0.24,0.06,0.18,13.22,13.3,11.71,1.38,41.36,590.0,495.0,-10.98
Q-CON,12.2,0.83,1166300.0,14154.0,4840.0,15.72,2.22,0.23,0.75,0.77,11.33,10.79,11.56,6.15,15.01,546.0,412.0,0.08
QH,2.34,0.86,2244200.0,5235.0,25072.0,11.22,0.92,0.63,0.04,0.21,,,,4.27,74.86,,,-1.13
QLT,5.6,0.0,107900.0,610.0,552.0,13.43,1.23,0.16,0.20,0.42,8.34,9.43,10.66,3.57,47.76,538.0,463.0,0.36
QTC,4.88,1.24,115200.0,559.0,1658.0,104.68,1.05,0.17,0.20,0.05,3.47,3.34,1.99,4.10,40.28,1131.0,1091.0,0.01
RABBIT,1.15,0.88,18618700.0,21252.0,6400.0,30.01,0.90,0.75,,0.04,3.54,2.65,2.46,,63.78,1011.0,941.0,-0.14
RAM,54.25,0.46,55000.0,2977.0,64800.0,18.47,3.47,0.48,0.30,2.92,12.76,20.59,20.75,1.40,24.34,409.0,423.0,0.17
RATCH,42.75,1.18,1335100.0,56938.0,92437.0,11.34,0.86,0.76,0.80,3.75,7.14,9.31,10.71,3.90,54.98,509.0,467.0,2.17
RBF,12.7,1.6,2287800.0,28649.0,25000.0,50.84,5.79,0.18,0.15,0.25,12.64,11.63,13.11,1.18,27.9,778.0,651.0,4.18
RCL,29.75,1.71,1752300.0,52020.0,25070.0,0.83,0.51,0.27,2.25,36.28,66.46,88.35,51.9,20.17,47.45,8.0,3.0,0.02
RICHY,0.77,1.32,242300.0,185.0,1216.0,97.95,0.41,1.39,0.01,0.01,2.18,0.44,2.43,0.92,45.88,1219.0,1157.0,0.31
RJH,30.25,0.0,44000.0,1339.0,9075.0,7.08,4.10,0.77,2.00,4.27,47.43,62.07,34.88,8.94,57.6,66.0,62.0,0.13
RML,0.73,0.0,2268500.0,1672.0,3046.0,,0.72,0.86,,0.0,-6.81,-17.58,-139.93,,48.39,,,
ROCK,7.95,-0.63,1000.0,8.0,159.0,,0.43,1.32,,0.0,-0.48,-4.4,-2.86,,26.06,,,
ROH,3.52,0.57,75200.0,263.0,3286.0,,1.20,1.94,,0.0,3.32,-8.01,-16.57,,3.0,,,
ROJNA,5.95,-0.83,4696600.0,28012.0,12224.0,16.07,0.77,1.65,0.20,0.38,3.78,4.82,2.35,3.36,31.8,767.0,745.0,0.07
RP,2.22,1.83,2400.0,5.0,442.0,,0.69,0.82,,0.0,-7.62,-11.2,-18.13,,37.8,,,
RPC,0.97,0.0,356800.0,345.0,1266.0,,0.54,0.66,0.10,0.0,0.23,-0.54,0.44,10.31,69.49,,,
RPH,6.35,1.6,784800.0,4950.0,3467.0,6.68,2.00,0.33,0.20,0.95,32.23,32.65,26.87,4.72,68.6,93.0,59.0,0.08
RS,16.0,0.0,1748800.0,28019.0,15365.0,183.77,7.67,2.69,0.35,0.09,2.51,3.99,5.69,2.15,59.4,1125.0,1153.0,-2.16
RSP,2.6,0.0,312400.0,788.0,1917.0,20.98,1.11,0.23,0.15,0.12,5.79,5.25,6.57,5.77,29.64,832.0,690.0,0.18
RT,1.3,-0.76,2662500.0,3468.0,1432.0,,1.14,2.59,0.01,0.0,-1.1,-6.5,-4.15,1.08,61.52,,,
RWI,1.01,0.0,757000.0,768.0,934.0,,0.76,0.46,0.10,0.0,-7.04,-7.69,-13.79,9.90,48.65,,,
S&J,35.0,0.72,100.0,4.0,5248.0,10.88,1.20,0.28,1.20,3.22,10.58,11.5,8.67,3.45,,415.0,336.0,1.65
S,1.98,2.59,3203400.0,6274.0,13365.0,67.41,0.79,1.99,,0.03,1.68,1.2,1.13,,36.44,1184.0,1167.0,-4.66
S11,5.15,0.0,246800.0,1272.0,3188.0,9.07,0.98,0.83,0.10,0.57,6.16,11.57,21.87,3.88,30.3,363.0,444.0,-124.72
SA,7.95,0.0,253900.0,2021.0,9426.0,61.86,2.52,2.55,0.05,0.13,3.01,4.18,5.98,0.62,18.46,1069.0,1081.0,-1.9
SAAM,7.2,-1.37,13000.0,93.0,2130.0,29.91,5.63,0.28,0.04,0.24,17.18,20.85,61.75,0.51,30.79,547.0,509.0,2.51
SABINA,26.25,0.0,612700.0,16089.0,8861.0,21.66,5.04,0.48,0.61,1.18,19.6,23.54,13.23,3.24,47.36,435.0,399.0,1.49
SABUY,12.1,1.68,15671400.0,189662.0,19272.0,18.52,2.15,0.44,0.03,0.65,12.69,19.01,34.03,0.36,31.91,430.0,430.0,0.2
SAF,1.93,0.0,1796400.0,3451.0,0.0,,-,,-,0.0,,,,-,34.77,,,
SAK,7.4,-1.99,6323600.0,47085.0,15091.0,21.19,2.81,1.18,0.14,0.34,6.76,13.96,29.56,1.85,24.79,544.0,653.0,0.62
SALEE,1.18,0.85,2165000.0,2519.0,1794.0,25.32,1.40,0.19,0.02,0.05,4.84,5.63,7.28,1.27,49.0,865.0,805.0,-0.21
SAM,0.81,2.53,266300.0,212.0,847.0,7.83,0.45,1.04,,0.1,3.68,5.85,2.36,,30.57,544.0,569.0,-0.07
SAMART,5.4,2.86,2467200.0,13142.0,5284.0,,1.73,3.4,,0.0,-0.97,-22.44,-9.46,,57.65,,,
SAMCO,1.45,0.0,138200.0,199.0,931.0,29.47,0.39,1.33,0.04,0.05,0.94,1.33,2.09,2.76,47.1,1049.0,1078.0,-3.08
SAMTEL,6.35,1.6,70000.0,438.0,3924.0,52.82,1.15,1.2,0.06,0.12,2.11,2.18,2.4,0.79,28.3,1115.0,1112.0,-1.49
SANKO,1.29,1.57,40500.0,52.0,402.0,22.97,1.98,1.51,,0.06,4.46,9.09,2.8,0.11,34.61,711.0,813.0,-0.8
SAPPE,51.0,0.0,296100.0,15235.0,16108.0,29.07,5.18,0.34,1.10,1.8,17.39,18.6,13.02,2.15,25.39,548.0,486.0,57.9
SAT,20.7,1.47,429600.0,8839.0,8674.0,9.56,1.12,0.31,0.38,2.13,10.87,11.94,10.66,7.25,64.42,366.0,296.0,0.34
SAUCE,30.75,0.0,7400.0,228.0,11070.0,18.14,4.14,0.11,1.60,1.7,25.83,22.96,18.52,5.20,22.44,383.0,315.0,1.91
SAWAD,55.75,4.69,6630000.0,365516.0,75523.0,17.14,3.09,1.31,1.80,3.21,8.37,18.35,38.19,3.23,44.92,417.0,540.0,0.89
SAWANG,14.2,0.0,100.0,1.0,341.0,,1.05,0.08,,0.0,-8.5,-9.39,-13.67,,22.83,,,
SC,4.54,-0.87,9028800.0,41038.0,19296.0,7.55,0.88,1.59,0.17,0.6,5.72,10.96,11.31,5.49,39.24,352.0,427.0,1.75
SCAP,25.75,0.0,118000.0,3053.0,33832.0,62.84,3.18,1.63,0.80,0.41,4.67,5.32,19.47,1.35,18.36,1037.0,976.0,0.71
SCB,100.5,1.26,13063400.0,1306826.0,333344.0,8.88,0.72,6.43,1.50,11.15,1.17,8.87,26.17,,76.41,443.0,720.0,-2.38
SCBB,69.0,-5.8,3005000.0,211189.0,0.0,,,,2.63,0.0,,,,,76.61,,,
SCC,339.0,-0.29,519300.0,176338.0,406800.0,13.77,1.03,0.94,2.00,24.62,4.67,7.83,4.64,2.36,66.22,595.0,639.0,-16.37
SCCC,161.0,-0.62,455000.0,73544.0,47829.0,25.76,1.44,1.01,9.00,6.23,7.46,10.41,7.28,5.59,27.91,696.0,680.0,2.63
SCG,4.78,3.46,27500.0,130.0,5423.0,,1.47,1.29,0.06,0.0,-2.35,-6.67,-3.65,1.28,17.66,,,
SCGP,52.25,0.48,3962900.0,206601.0,222159.0,38.3,2.29,0.61,0.35,1.35,5.77,7.58,4.71,1.15,26.21,879.0,837.0,1.52
SCI,1.34,0.0,457300.0,615.0,983.0,,0.75,1.33,,0.0,-4.64,-11.18,-13.66,,46.64,,,
SCM,5.75,0.0,251500.0,1457.0,3390.0,16.52,5.33,0.32,0.15,0.34,27.57,32.76,15.31,5.04,33.88,311.0,287.0,0.14
SCN,2.04,2.0,1117400.0,2267.0,2448.0,6.96,0.79,0.81,0.06,0.29,7.89,12.17,23.12,2.70,36.4,296.0,331.0,-0.6
SCP,5.0,0.0,31100.0,156.0,1500.0,21.44,0.69,0.16,0.15,0.23,3.8,3.17,5.31,3.07,49.06,902.0,830.0,-1.45
SDC,0.18,0.0,21308300.0,3840.0,2768.0,,2.71,4.81,,0.0,-4.87,-82.93,-65.94,,29.58,,,
SE,1.19,-3.25,3212300.0,3855.0,773.0,11.71,2.07,0.41,,0.1,16.2,19.19,10.59,0.22,38.01,304.0,257.0,1.41
SE-ED,2.22,-0.89,4000.0,9.0,870.0,,0.84,1.09,,0.0,0.58,-2.5,0.19,,26.81,,,
SEAFCO,3.7,1.09,344400.0,1268.0,2737.0,,1.93,0.58,,0.0,-5.99,-10.76,-24.02,,73.71,,,
SEAOIL,3.86,-1.53,228600.0,886.0,2702.0,5.57,1.33,0.94,0.01,0.7,15.11,27.19,2.28,0.18,39.63,99.0,128.0,
SECURE,16.4,1.86,125900.0,2059.0,1675.0,45.45,2.88,0.27,0.18,0.36,6.66,6.46,4.3,1.10,41.16,949.0,823.0,
SELIC,2.98,2.05,178100.0,529.0,1786.0,38.34,1.88,1.07,0.01,0.08,3.77,5.79,2.98,0.14,34.25,950.0,968.0,-0.17
SENA,3.96,0.51,414700.0,1635.0,5711.0,4.26,0.71,1.28,0.13,0.93,8.07,17.71,23.48,5.32,32.88,164.0,289.0,0.38
SENAJ,1.04,1.96,667400.0,694.0,4242.0,,1.11,0.59,,0.0,-2.42,-5.73,-12.23,,57.69,,,
SF,7.65,-0.65,115600.0,873.0,0.0,,,,0.2,0.0,,,,,3.1,,,
SFLEX,3.56,7.88,5558000.0,19307.0,2936.0,57.25,3.03,0.72,0.05,0.06,3.66,5.38,1.72,2.42,52.73,1026.0,1035.0,3.88
SFP,247.0,0.0,2100.0,519.0,5187.0,23.51,2.99,0.33,,10.51,11.17,11.54,5.61,,28.73,625.0,527.0,0.15
SFT,5.1,2.82,256400.0,1291.0,2200.0,28.89,2.91,0.28,0.10,0.17,10.46,10.28,9.55,1.99,29.25,738.0,617.0,0.73
SGC,3.86,7.22,275972700.0,1034217.0,0.0,,-,,-,0.0,,,,-,20.49,,,
SGF,0.78,0.0,2158400.0,1687.0,1022.0,21.52,0.57,0.54,,0.04,1.73,2.7,10.62,,85.86,918.0,948.0,0.31
SGP,10.0,0.0,378900.0,3779.0,18379.0,8.74,1.10,1.94,0.20,1.14,6.83,13.05,1.44,10.00,16.36,316.0,403.0,0.16
SHANG,62.5,3.31,3000.0,187.0,7410.0,,1.02,0.06,,0.0,-4.49,-3.42,-10.34,,18.54,,,
SHR,4.42,-1.34,7921300.0,35161.0,15596.0,,0.91,1.25,,0.0,1.23,-0.98,-1.49,,37.73,,,
SIAM,1.69,0.6,288700.0,489.0,1014.0,,0.39,0.23,0.01,0.0,-0.29,-0.78,-0.85,0.59,35.63,,,
SICT,8.2,1.23,319400.0,2609.0,3280.0,36.66,7.13,0.2,0.04,0.22,17.51,21.45,18.38,0.52,36.71,572.0,538.0,0.58
SIMAT,2.3,1.77,436300.0,997.0,1518.0,24.51,1.51,0.53,,0.1,6.57,6.36,7.6,,86.16,819.0,693.0,
SINGER,21.5,24.28,164509700.0,3270537.0,17187.0,18.26,0.97,0.52,0.26,1.14,9.39,10.12,18.67,2.61,49.74,620.0,524.0,0.17
SIRI,1.85,1.65,57497800.0,105549.0,28704.0,10.13,0.70,2.43,0.04,0.18,3.65,7.1,11.36,3.13,71.55,545.0,633.0,-1.38
SIS,25.25,0.0,48600.0,1227.0,9018.0,11.81,2.65,2.18,1.20,2.18,9.47,23.61,2.57,4.75,32.18,259.0,391.0,0.38
SISB,26.0,1.96,755500.0,19411.0,23500.0,87.85,10.87,0.74,0.10,0.28,8.39,12.89,25.47,0.38,21.64,797.0,824.0,0.62
SITHAI,1.82,6.43,54795000.0,97114.0,4878.0,13.79,1.15,0.9,0.03,0.13,6.07,8.73,4.14,1.65,62.35,574.0,555.0,-0.09
SJWD,20.0,0.5,1114800.0,22135.0,20298.0,35.75,5.36,,0.78,0.56,,,,1.25,45.68,,,
SK,0.92,0.0,67600.0,63.0,432.0,79.79,1.29,0.42,0.03,0.01,2.19,1.59,-1.1,2.72,58.88,1172.0,1144.0,-4.87
SKE,0.72,1.41,166700.0,119.0,804.0,46.07,0.78,0.63,,0.02,2.53,1.72,3.29,,45.7,1112.0,1066.0,-2.76
SKN,5.1,2.0,242300.0,1225.0,4160.0,5.11,1.21,0.24,0.28,1.02,22.67,25.92,17.53,5.49,29.81,96.0,62.0,0.04
SKR,10.3,13.19,2267100.0,22676.0,21056.0,20.75,3.52,0.32,0.08,0.49,29.29,32.29,19.08,1.55,38.91,375.0,346.0,0.28
SKY,28.75,12.75,22138100.0,628311.0,18104.0,134.09,6.44,2.42,,0.22,3.92,5.04,6.63,,61.41,1090.0,1065.0,0.32
SLM,0.19,0.0,0.0,0.0,0.0,,,0.94,0.6,0.0,19.31,44.03,13.09,,33.77,,,
SLP,0.64,0.0,192500.0,121.0,756.0,,0.91,0.14,,0.0,-2.67,-4.49,-4.23,,31.36,,,
SM,1.99,1.53,3265100.0,6484.0,0.0,,-,,-,0.0,,,,-,37.51,,,
SMART,0.85,1.19,5387200.0,4560.0,896.0,31.32,1.54,0.24,0.04,0.03,5.31,4.83,4.68,4.71,31.38,951.0,832.0,-0.57
SMD,8.45,1.2,719600.0,6058.0,1899.0,5.47,1.85,0.24,0.25,1.54,34.53,37.19,15.82,5.64,49.01,62.0,41.0,0.02
SMIT,5.0,0.0,191000.0,949.0,2650.0,9.57,1.06,0.12,0.14,0.52,12.17,11.26,11.98,7.20,36.23,394.0,259.0,0.61
SMK,3.38,1.2,121800.0,413.0,676.0,,,1.29,,0.0,-296.71,107.22,-500.01,,15.91,,,
SMPC,12.1,0.83,3457000.0,41822.0,6587.0,7.95,2.42,0.49,0.40,1.55,29.76,41.35,15.89,8.26,38.74,94.0,85.0,0.74
SMT,5.15,0.98,4751900.0,23971.0,4355.0,15.65,2.43,0.57,0.05,0.33,10.72,16.92,10.7,0.97,79.02,407.0,430.0,-0.02
SNC,14.5,5.07,4159500.0,60395.0,5288.0,7.27,1.03,1.31,0.65,2.01,8.65,15.26,3.67,6.21,66.01,247.0,310.0,0.41
SNNP,25.5,4.51,3946100.0,98801.0,23904.0,49.37,8.11,0.52,0.18,0.5,14.03,17.39,9.15,0.94,29.02,665.0,620.0,0.14
SNP,18.2,0.55,26100.0,471.0,9282.0,20.62,3.62,0.93,0.10,0.88,12.1,18.02,7.8,3.44,19.74,463.0,467.0,6.54
SO,9.3,1.09,29400.0,275.0,4151.0,27.21,4.21,0.77,0.15,0.34,11.38,16.05,6.55,1.99,25.0,574.0,560.0,1.12
SOLAR,0.89,1.14,886300.0,785.0,969.0,,1.75,1.92,,0.0,-9.54,-58.79,-64.85,,75.76,,,
SONIC,2.8,2.19,1529500.0,4228.0,2157.0,6.16,1.71,0.37,0.11,0.46,30.15,35.14,8.48,3.71,50.05,75.0,53.0,0.08
SORKON,5.75,1.77,473400.0,2722.0,1843.0,13.88,1.47,1.32,0.15,0.41,7.33,10.93,3.51,2.61,40.08,501.0,509.0,1.36
SPA,11.3,-0.88,341200.0,3880.0,9490.0,,18.50,3.6,,0.0,-4.32,-25.0,-22.79,,56.32,,,
SPACK,3.32,2.47,781100.0,2558.0,990.0,62.13,1.67,1.66,,0.05,2.27,2.73,-0.05,,24.28,1121.0,1124.0,0.27
SPALI,24.0,-0.83,4333900.0,104245.0,46678.0,5.26,1.05,0.75,0.70,4.55,15.24,21.23,23.58,5.20,53.91,137.0,121.0,0.46
SPC,63.5,-0.39,200.0,13.0,20955.0,12.71,0.85,0.41,0.50,5.0,5.96,6.7,4.4,2.52,40.99,625.0,543.0,2.5
SPCG,14.3,0.0,178800.0,2556.0,15203.0,6.76,0.86,0.19,0.25,2.13,11.3,13.32,52.84,5.59,35.4,262.0,211.0,4.27
SPG,16.3,0.0,0.0,0.0,5796.0,15.23,1.05,0.1,0.45,1.1,7.86,6.93,13.24,5.52,8.79,655.0,511.0,-7.64
SPI,66.25,0.38,100.0,7.0,37459.0,12.38,0.86,0.39,0.20,5.29,5.72,7.13,59.72,1.21,59.13,601.0,548.0,0.56
SPRC,11.2,0.0,3369800.0,37759.0,48562.0,5.24,1.14,0.76,0.96,2.14,17.88,24.54,3.38,1.59,39.39,109.0,95.0,-0.07
SPVI,5.15,0.0,893400.0,4631.0,2080.0,16.44,3.80,1.1,0.18,0.32,23.16,30.72,2.11,3.40,38.57,311.0,291.0,0.12
SQ,1.96,-0.51,185000.0,361.0,2241.0,8.13,0.80,2.21,0.08,0.24,5.57,10.1,6.3,4.08,59.64,401.0,451.0,
SR,1.47,-2.0,2700.0,4.0,981.0,,1.13,2.02,,0.0,0.95,-4.69,0.55,,33.01,,,
SRICHA,10.0,5.26,681400.0,6654.0,3161.0,,1.91,0.19,0.25,0.0,-1.53,-0.52,-0.37,6.50,44.03,,,
SSC,34.0,0.0,300.0,10.0,9041.0,482.44,0.97,0.47,0.34,0.07,1.4,0.14,0.11,1.00,15.21,1256.0,1227.0,16.0
SSF,8.6,-0.58,400.0,3.0,2322.0,17.71,1.24,0.82,0.52,0.49,6.67,6.99,1.62,6.03,22.71,707.0,603.0,0.18
SSP,9.45,0.53,1504800.0,14164.0,11927.0,9.03,1.52,1.77,0.20,1.06,8.32,20.33,41.33,0.11,45.69,218.0,363.0,0.34
SSS,0.71,0.0,0.0,0.0,0.0,,,0.04,0.03,0.0,-71.63,-81.56,-4070.44,,44.33,,,
SSSC,3.14,1.29,244500.0,768.0,2022.0,7.91,0.66,0.44,0.23,0.4,7.69,8.51,4.67,7.32,38.82,443.0,359.0,0.39
SST,6.4,0.0,100.0,1.0,3369.0,96.17,1.68,1.79,0.02,0.07,2.99,1.76,0.76,0.47,31.44,1177.0,1115.0,-0.09
STA,25.0,5.04,18172900.0,450994.0,38784.0,7.15,0.76,0.7,1.00,3.53,7.92,11.13,4.44,16.60,55.54,337.0,332.0,-0.01
STANLY,180.0,-0.28,49000.0,8817.0,13793.0,8.34,0.67,0.13,8.50,21.58,8.94,8.23,11.09,4.72,34.3,460.0,326.0,0.34
STARK,2.66,2.31,77039000.0,205631.0,35393.0,11.32,2.49,4.39,,0.23,12.57,43.28,10.13,,28.84,191.0,301.0,0.05
STC,0.8,0.0,446900.0,355.0,454.0,,1.23,0.78,,0.0,0.46,-0.36,-0.62,,24.87,,,
STEC,13.2,2.33,9441600.0,123596.0,19979.0,21.73,1.05,1.59,0.25,0.6,2.43,5.28,2.47,1.89,65.73,839.0,917.0,-0.19
STECH,2.06,1.98,185600.0,381.0,1494.0,18.79,1.20,0.97,0.05,0.11,4.94,6.48,4.88,2.43,44.08,745.0,721.0,
STGT,11.0,4.76,24739600.0,275049.0,30944.0,18.73,0.84,0.33,0.50,0.58,7.85,9.15,8.98,42.22,34.59,450.0,381.0,0.01
STHAI,0.01,0.0,0.0,0.0,0.0,,,0.07,0.11,0.01,1.25,1.34,-0.33,,73.98,,,
STI,5.8,0.0,4217900.0,24402.0,3889.0,28.15,4.64,1.13,0.07,0.23,10.44,17.9,7.78,0.53,19.58,523.0,574.0,0.88
STOWER,0.04,0.0,7782500.0,315.0,1849.0,,1.67,0.21,,0.0,-10.26,-13.98,-32.07,,68.81,,,
STP,13.4,0.0,187300.0,2493.0,1340.0,11.17,2.15,0.37,0.20,1.2,18.28,20.13,20.73,,25.0,276.0,220.0,
STPI,4.72,0.0,632800.0,2990.0,7734.0,694.99,1.00,0.46,,0.01,1.0,0.14,-3.25,,74.26,1256.0,1249.0,-3.23
SUC,30.25,0.0,19300.0,586.0,9225.0,12.97,0.41,0.11,1.50,2.37,3.95,3.21,8.78,4.96,57.21,752.0,674.0,-0.97
SUN,4.44,-1.33,204900.0,917.0,2877.0,18.65,2.53,0.44,0.05,0.24,12.52,13.94,3.66,5.63,31.13,500.0,431.0,-0.1
SUPER,0.62,3.33,17523400.0,10824.0,16683.0,16.69,0.84,2.93,0.01,0.04,4.54,5.07,9.63,0.97,63.05,777.0,719.0,0.22
SUSCO,3.84,2.13,3979100.0,15246.0,4032.0,9.47,1.02,1.17,0.12,0.41,7.85,11.11,1.55,4.69,53.88,393.0,394.0,8.15
SUTHA,3.96,-0.5,269100.0,1066.0,1450.0,16.44,1.50,2.14,,0.24,3.84,13.2,7.75,2.72,21.56,487.0,757.0,0.03
SVH,430.0,5.39,8095.0,3119.0,43000.0,19.14,3.98,,7.50,0.0,,,,3.31,4.23,,,5.87
SVI,9.2,1.1,7457000.0,68496.0,20240.0,11.42,3.39,2.17,0.26,0.82,12.31,35.01,6.81,2.83,18.56,195.0,298.0,0.43
SVOA,2.4,1.69,341000.0,814.0,1697.0,14.55,0.93,1.47,0.06,0.16,3.96,6.55,1.75,2.42,63.24,660.0,698.0,0.47
SVR,1.97,3.68,14181900.0,27670.0,0.0,,-,,-,0.0,,,,-,50.82,,,
SVT,3.4,0.0,650500.0,2210.0,2422.0,27.95,2.02,0.35,0.04,0.12,6.6,7.44,4.33,1.18,55.68,809.0,727.0,
SWC,6.35,-0.78,2100.0,13.0,2879.0,42.56,4.18,0.66,0.13,0.15,9.69,10.22,1.23,4.38,25.59,811.0,708.0,3.18
SYMC,5.8,-1.69,1700.0,10.0,2537.0,17.07,0.96,0.6,0.08,0.34,5.51,5.76,9.91,1.29,30.16,749.0,649.0,-0.34
SYNEX,16.4,1.86,542000.0,8828.0,13981.0,15.54,3.59,2.44,0.18,1.06,9.62,23.95,2.12,4.27,25.3,331.0,457.0,0.79
SYNTEC,1.72,2.99,555600.0,935.0,2736.0,,0.51,0.68,0.03,0.0,-2.13,-3.09,-6.77,3.49,66.46,,,
TACC,6.4,0.0,547700.0,3501.0,3891.0,15.66,5.42,0.48,0.17,0.41,30.54,35.38,17.21,5.16,66.39,283.0,261.0,0.57
TAE,1.55,-0.64,203000.0,313.0,1530.0,,0.94,0.87,,0.0,-3.38,-6.91,-4.82,,41.02,,,
TAKUNI,2.8,1.45,13570300.0,38116.0,2224.0,22.17,2.30,0.86,0.03,0.13,12.56,10.77,2.31,0.89,48.39,643.0,481.0,0.62
TAPAC,2.38,0.0,84500.0,201.0,997.0,9.02,1.00,1.26,0.02,0.27,8.74,11.64,4.13,0.84,45.41,355.0,343.0,-0.22
TASCO,18.8,1.62,16040000.0,301675.0,29831.0,12.61,1.83,0.65,0.25,1.5,9.86,11.9,5.61,5.59,39.98,507.0,467.0,0.24
TC,11.8,1.72,750800.0,8756.0,3861.0,8.33,1.56,0.38,0.15,1.4,15.67,20.47,9.3,1.27,50.84,202.0,176.0,-0.66
TCAP,42.5,-0.58,1117700.0,47675.0,49263.0,7.64,0.67,1.1,1.20,5.63,4.79,9.06,48.95,7.06,76.17,421.0,491.0,5.2
TCC,0.9,1.12,2079900.0,1835.0,1240.0,6.01,1.13,0.33,,0.15,20.79,21.77,9.94,,61.77,141.0,86.0,-0.02
TCCC,39.0,0.65,73100.0,2833.0,22658.0,23.09,2.05,0.2,1.70,1.68,9.7,8.86,7.52,4.36,7.56,718.0,569.0,-10.43
TCJ,4.52,0.44,17800.0,80.0,482.0,,0.34,0.56,,0.0,3.69,-3.72,-0.02,,58.99,,,
TCMC,1.77,2.91,319400.0,569.0,1358.0,,0.61,2.22,,0.0,1.36,-1.3,0.43,,61.68,,,
TCOAT,27.25,-6.03,900.0,25.0,286.0,,0.56,0.24,0.55,0.0,-1.75,-2.43,-1.33,1.90,25.86,,,
TEAM,8.1,3.18,3548600.0,28443.0,5192.0,21.4,4.97,1.1,0.05,0.38,12.37,24.81,8.81,1.98,30.7,412.0,472.0,-0.07
TEAMG,10.2,6.25,8855300.0,89090.0,6936.0,66.63,7.13,1.35,0.15,0.15,6.25,10.82,5.48,1.47,61.71,842.0,887.0,19.64
TEGH,5.3,1.92,7301200.0,38494.0,5724.0,8.5,1.86,1.57,,0.62,10.58,22.55,4.4,,25.0,185.0,274.0,
TEKA,3.16,2.6,1411000.0,4436.0,936.0,7.35,1.33,0.97,0.07,0.42,9.33,14.07,4.94,,25.0,264.0,289.0,
TFG,5.35,1.9,4950400.0,26427.0,30249.0,8.1,2.08,2.09,0.10,0.66,13.78,29.16,9.57,1.67,15.93,129.0,183.0,0.58
TFI,0.15,0.0,4179500.0,627.0,2524.0,,1.00,0.18,,0.0,-9.77,-11.01,-29.94,,12.01,,,
TFM,9.9,0.0,45700.0,453.0,4950.0,45.19,2.23,0.48,0.05,0.22,3.96,8.2,2.5,1.52,30.4,850.0,948.0,-0.77
TFMAMA,205.0,0.99,7500.0,1522.0,67589.0,23.95,2.34,0.13,1.34,8.56,11.17,10.05,9.73,2.01,24.3,689.0,532.0,3.65
TGE,1.75,1.74,1325300.0,2313.0,3828.0,18.76,1.87,0.65,,0.09,7.79,10.26,21.98,,27.02,619.0,590.0,
TGH,20.3,0.0,0.0,0.0,15268.0,,1.85,8.65,,0.0,-1.44,-13.68,11.45,,19.16,,,
